Social assistance,275.4
Food services and drinking places,221.8
Hospitals,133.1
Specialty trade contractors,120
Ambulatory health care services,111.7
"Amusement, gambling, and recreation industries",103.1
Heavy and civil engineering construction,95.6
Administrative and support services,72.1
Nursing and residential care facilities,62.4
"Performing arts, spectator sports, and related industries",53.8
Accommodation,34.6
Personal and laundry services,23.3
Repair and maintenance,23.2
Construction of buildings,22.3
"Religious, grantmaking, civic, professional, and similar organizations",21.6
Motor vehicle and parts dealers,13.2
Gasoline stations and fuel dealers,11.8
Transit and ground passenger transportation,9.9
Scenic and sightseeing transportation,9.8
Rental and leasing services,8.4
Truck transportation,8.1
Air transportation,7.7
"Museums, historical sites, and similar institutions",7.5
Fabricated metal product manufacturing,6.1
Nonmetallic mineral product manufacturing,5.4
Broadcasting and content providers,4.6
Pipeline transportation,4.6
Chemical manufacturing,4.4
Waste management and remediation services,4.3
Water transportation,4.2
"Web search portals, libraries, archives, and other information services",3.4
Petroleum and coal products manufacturing,3.3
Mining (except oil and gas),2.7
Food manufacturing,2.4
Paper manufacturing,1.3
Real estate,0.8
Primary metal manufacturing,0.5
"Electrical equipment, appliance, and component manufacturing",0
Lessors of nonfinancial intangible assets (except copyrighted works),-0.1
Monetary authorities-central bank,-0.6
Textile mills,-0.9
Textile product mills,-1.6
Apparel manufacturing,-2
"Computing infrastructure providers, data processing, web hosting, and related services",-2.4
Oil and gas extraction,-3.1
Rail transportation,-3.7
Furniture and related product manufacturing,-3.8
Support activities for mining,-4.6
Publishing industries,-4.9
Plastics and rubber products manufacturing,-6.7
"Merchant wholesalers, nondurable goods",-6.8
Support activities for transportation,-7
Credit intermediation and related activities,-7.4
Wood product manufacturing,-7.9
Miscellaneous manufacturing,-8.1
Printing and related support activities,-9
Insurance carriers and related activities,-9.7
"Merchant wholesalers, durable goods",-10.2
Machinery manufacturing,-11.2
Wholesale trade agents and brokers,-12
Building material and garden equipment and supplies dealers,-18.8
Computer and electronic product manufacturing,-18.9
Motion picture and sound recording industries,-20.1
Telecommunications,-20.2
"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers",-22.8
Food and beverage retailers,-24.5
Health and personal care retailers,-34.6
Transportation equipment manufacturing,-45.2
"Furniture, home furnishings, electronics, and appliance retailers",-47.4
Warehousing and storage,-59.1
"Clothing, clothing accessories, shoe, and jewelry retailers",-101
General merchandise retailers,-140.3
Couriers and messengers,-281.4
