Telecommunications(1),4.46
Textile product mills,3.55
"Electrical equipment, appliance, and component manufacturing",2.73
Motion picture and sound recording industries(1),2.51
Computer and electronic product manufacturing,2.45
Credit intermediation and related activities(1),2.37
"Performing arts, spectator sports, and related industries(1)",2.35
"Web search portals, libraries, archives, and other information services(1)",2.14
Oil and gas extraction(1),2.04
Transportation equipment manufacturing,2.01
Insurance carriers and related activities(1),1.94
Wholesale trade agents and brokers(1),1.83
Broadcasting and content providers(1),1.53
"Merchant wholesalers, durable goods(1)",1.41
General merchandise retailers(1),1.38
Health and personal care retailers(1),1.37
Motor vehicle and parts dealers(1),1.34
Machinery manufacturing,1.3
Warehousing and storage(1),1.3
Specialty trade contractors(1),1.26
Administrative and support services(1),1.26
Plastics and rubber products manufacturing,1.24
Nonmetallic mineral product manufacturing,1.23
"Amusement, gambling, and recreation industries(1)",1.22
Personal and laundry services(1),1.2
Ambulatory health care services(1),1.17
Miscellaneous manufacturing,1.15
Truck transportation(1),1.14
Paper manufacturing,1.13
Hospitals(1),1.12
Food manufacturing,1.11
Heavy and civil engineering construction(1),1.09
Construction of buildings(1),1.08
Chemical manufacturing,1.06
"Merchant wholesalers, nondurable goods(1)",1.04
Rental and leasing services(1),1.02
Fabricated metal product manufacturing,0.99
Publishing industries(1),0.97
Repair and maintenance(1),0.97
"Furniture, home furnishings, electronics, and appliance retailers(1)",0.93
Mining (except oil and gas)(1),0.92
"Computing infrastructure providers, data processing, web hosting, and related services(1)",0.9
Social assistance(1),0.86
Accommodation(1),0.83
Gasoline stations and fuel dealers(1),0.82
"Museums, historical sites, and similar institutions(1)",0.78
Support activities for transportation(1),0.74
Nursing and residential care facilities(1),0.72
Primary metal manufacturing,0.67
"Clothing, clothing accessories, shoe, and jewelry retailers(1)",0.63
"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers(1)",0.6
Furniture and related product manufacturing,0.57
Air transportation(1),0.55
Building material and garden equipment and supplies dealers(1),0.55
Support activities for mining(1),0.54
Transit and ground passenger transportation(1),0.54
Printing and related support activities,0.48
Food services and drinking places(1),0.47
Couriers and messengers(1),0.39
"Religious, grantmaking, civic, professional, and similar organizations(1)",0.31
Real estate(1),0.3
Food and beverage retailers(1),0.29
Wood product manufacturing,0.14
Textile mills,-0.44
Waste management and remediation services(1),-0.46
Apparel manufacturing,-0.63
