Industry,2022 NAICS code,Dec. 2024,Aug. 2025,Sept. 2025,Oct. 2025,Nov. 2025 (p),Dec. 2025 (p),Change from: Nov.2025 - Dec.2025(p)
Total nonfarm,,159923,159404,159732,160397,160640,160448,-192
,,,,,,,,
Total private,,136080,136700,136145,136690,136828,136762,-66
,,,,,,,,
Goods-producing,,21628,21887,21783,21783,21693,21548,-145
,,,,,,,,
Mining and logging,,623,621,615,616,612,606,-6
Logging,1133,39.3,38.4,37.6,37.1,36.2,35.7,-0.5
"Mining, quarrying, and oil and gas extraction",21,583.4,582.9,577.3,578.4,575.7,570.4,-5.3
Oil and gas extraction,211,123.2,120.8,119.6,120.1,120.9,121.2,0.3
Mining (except oil and gas),212,189.7,194.2,193.2,192.4,191.9,188.2,-3.7
Coal mining,2121,41.8,40.8,40.5,40.5,41,40.6,-0.4
Surface coal mining,212114,17.4,17.7,17.8,17.9,18.3,-,-
Underground coal mining,212115,24.4,23.1,22.7,22.6,22.7,-,-
Metal ore mining,2122,44.9,44.5,44.3,44.6,45,45.6,0.6
Gold ore and silver ore mining,21222,15.7,15.7,15.6,15.6,15.5,-,-
"Iron ore, copper, nickel, lead, zinc, and other metal ore mining","21221,3,9",29.2,28.8,28.7,29,29.5,-,-
Nonmetallic mineral mining and quarrying,2123,103,108.9,108.4,107.3,105.9,102,-3.9
Stone mining and quarrying,21231,44.8,47.1,47.3,47.4,47.1,-,-
Crushed and broken limestone mining and quarrying,212312,23.4,25.2,25.4,25.3,25.4,-,-
"Dimension stone, crushed and broken granite, and other crushed and broken stone mining and quarrying","212311,3,9",21.4,21.9,21.9,22.1,21.7,-,-
"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",21232,45.9,48.7,48.5,47.3,46.3,-,-
Construction sand and gravel mining,212321,29,31.3,31.2,29.8,29.4,-,-
Other nonmetallic mineral mining and quarrying,21239,12.3,13.1,12.6,12.6,12.5,-,-
Support activities for mining,213,270.5,267.9,264.5,265.9,262.9,261,-1.9
Drilling oil and gas wells,213111,46.3,48.5,47.7,48.4,49.1,-,-
Support activities for oil and gas operations,213112,211.5,206.5,203.6,203.9,200.4,-,-
"Support activities for coal, metal, and nonmetallic minerals mining","213113,4,5",12.7,12.9,13.2,13.6,13.4,-,-
,,,,,,,,
Construction,23,8219,8492,8442,8457,8383,8231,-152
Construction of buildings,236,1865.8,1899.6,1879.8,1888.1,1882.4,1864.5,-17.9
Residential building construction,2361,953.5,965,959,966.4,960.5,950.9,-9.6
New single-family housing construction (except for-sale builders),236115,386.4,389.6,384.1,389.7,388.9,-,-
New multifamily housing construction (except for-sale builders),236116,47.7,44.3,43.5,43.5,43.8,-,-
New housing for-sale builders,236117,57.8,57.7,56.9,57.2,56,-,-
Residential remodelers,236118,461.6,473.4,474.5,476,471.8,-,-
Nonresidential building construction,2362,912.3,934.6,920.8,921.7,921.9,913.6,-8.3
Industrial building construction,23621,173,166.5,164.4,164.5,165.6,-,-
Commercial and institutional building construction,23622,739.3,768.1,756.4,757.2,756.3,-,-
Heavy and civil engineering construction,237,1137.1,1231.9,1231.1,1232.7,1203.9,1151.3,-52.6
Utility system construction,2371,608.3,641.6,642.9,649.6,640.5,-,-
Water and sewer line and related structures construction,23711,217.6,227.7,227.2,227.1,226,-,-
Oil and gas pipeline and related structures construction,23712,149.1,162.5,161.4,164.1,162.6,-,-
Power and communication line and related structures construction,23713,241.6,251.4,254.3,258.4,251.9,-,-
Land subdivision,2372,37.2,37.8,37.5,38.6,38.4,-,-
"Highway, street, and bridge construction",2373,354.6,410.6,409.2,403.4,386.3,-,-
Other heavy and civil engineering construction,2379,137,141.9,141.5,141.1,138.7,-,-
Specialty trade contractors,238,5216.1,5360.9,5331.2,5336.1,5296.7,5215.3,-81.4
Residential specialty trade contractors,part 238,2388.5,2425.3,2401,2407,2378.2,2351.2,-27
Nonresidential specialty trade contractors,part 238,2827.6,2935.6,2930.2,2929.1,2918.5,2864.1,-54.4
"Foundation, structure, and building exterior contractors",2381,977.2,998.2,994.2,988.8,976.3,-,-
Residential building foundation and exterior contractors,part 2381,497.8,501,496.5,493.1,490.6,-,-
